EstCombined,Est1,Est2,SimCombined,Sim1,Sim2
0.603439,0.454877,0.667728,0.33319796740125207,0.33319796740125207,0.33319796740125207
0.621447,0.702253,0.563657,0.33132628904791145,0.33132628904791145,0.33132628904791145
0.289978,0.269443,0.201901,0.3319960296088829,0.3319960296088829,0.3319960296088829
0.400049,0.571002,0.468438,0.3332882738752628,0.3332882738752628,0.3332882738752628
0.142575,0.277363,0.400457,0.3333184264852121,0.3333184264852121,0.3333184264852121
0.689016,0.750117,0.847029,0.33287574291357125,0.33287574291357125,0.33287574291357125
0.219135,0.475635,0.290655,0.3329941349158828,0.3329941349158828,0.3329941349158828
0.506195,0.560252,0.596985,0.3332302242825949,0.3332302242825949,0.3332302242825949
0.123252,0.287659,0.291651,0.33333330166763764,0.33333330166763764,0.33333330166763764
0.539123,0.658081,0.719535,0.3310570150526898,0.3310570150526898,0.3310570150526898
0.571047,0.648956,0.699027,0.3331666213651172,0.3331666213651172,0.3331666213651172
0.502369,0.508248,0.513721,0.3332748401036434,0.3332748401036434,0.3332748401036434
0.304422,0.364963,0.337266,0.333194831384008,0.333194831384008,0.333194831384008
0.360353,0.468252,0.36683,0.33261251678365783,0.33261251678365783,0.33261251678365783
0.545793,0.537623,0.592752,0.3330781662135867,0.3330781662135867,0.3330781662135867
0.357583,0.367505,0.433738,0.3333310184502956,0.3333310184502956,0.3333310184502956
0.221855,0.152266,0.36129,0.33324493666399907,0.33324493666399907,0.33324493666399907
0.212205,0.254253,0.419321,0.33333332565665463,0.33333332565665463,0.33333332565665463
0.559358,0.629806,0.62677,0.3311689015948391,0.3311689015948391,0.3311689015948391
0.301101,0.371049,0.45725,0.33316121144921507,0.33316121144921507,0.33316121144921507
0.613645,0.648089,0.70727,0.33179540957461845,0.33179540957461845,0.33179540957461845
0.396885,0.521321,0.446745,0.3332007746291147,0.3332007746291147,0.3332007746291147
0.240887,0.105567,0.35169,0.33328482758482525,0.33328482758482525,0.33328482758482525
0.43032,0.527076,0.495542,0.3333271040387318,0.3333271040387318,0.3333271040387318
0.361948,0.108573,0.41886,0.33295331294105257,0.33295331294105257,0.33295331294105257
0.424189,0.234804,0.596126,0.3331955246918227,0.3331955246918227,0.3331955246918227
0.353313,0.596057,0.390808,0.332233831342092,0.332233831342092,0.332233831342092
0.64042,0.617712,0.572368,0.3332165577635705,0.3332165577635705,0.3332165577635705
0.431648,0.4606,0.632955,0.3326384138682179,0.3326384138682179,0.3326384138682179
0.528728,0.546277,0.662591,0.33321039336470704,0.33321039336470704,0.33321039336470704
0.558786,0.606644,0.666586,0.3302718585411366,0.3302718585411366,0.3302718585411366
0.493559,0.538695,0.501187,0.3315086411012882,0.3315086411012882,0.3315086411012882
0.545738,0.548905,0.520288,0.33331800926102007,0.33331800926102007,0.33331800926102007
0.408137,0.500545,0.588324,0.33322951418351504,0.33322951418351504,0.33322951418351504
0.485222,0.55297,0.713313,0.33330136547691736,0.33330136547691736,0.33330136547691736
0.331101,0.533352,0.150402,0.3331169861726923,0.3331169861726923,0.3331169861726923
0.466863,0.648941,0.575034,0.33238209614540953,0.33238209614540953,0.33238209614540953
0.304866,0.298043,0.260458,0.33311017836359913,0.33311017836359913,0.33311017836359913
0.457828,0.525809,0.669,0.3321818902043397,0.3321818902043397,0.3321818902043397
0.537999,0.578332,0.523456,0.3332695041486334,0.3332695041486334,0.3332695041486334
0.505594,0.58011,0.547134,0.33333183267003336,0.33333183267003336,0.33333183267003336
0.351042,0.564663,0.457349,0.33121401360778835,0.33121401360778835,0.33121401360778835
0.390778,0.322755,0.464467,0.33329134113309966,0.33329134113309966,0.33329134113309966
0.427232,0.490979,0.646649,0.3331685481693145,0.3331685481693145,0.3331685481693145
0.316913,0.514141,0.221573,0.333331552200252,0.333331552200252,0.333331552200252
0.48246,0.407014,0.633819,0.3323713925448359,0.3323713925448359,0.3323713925448359
0.110659,0.005931,0.128955,0.33321851896747456,0.33321851896747456,0.33321851896747456
0.518203,0.783456,0.220358,0.33333181414976726,0.33333181414976726,0.33333181414976726
0.38771,0.323751,0.609237,0.3331813939779617,0.3331813939779617,0.3331813939779617
0.590888,0.628755,0.647838,0.3333046448693074,0.3333046448693074,0.3333046448693074
